,participant,date,trial,angle,stim,stim_strength,incentive,desirability,endowment_size,remain_endowment,resp,rt,correct
0,1,2021-02-23_16h05.47.798,1,-89.493169,-0.506831,0.506831,0.1,0,0.0,0.0,1.0,2476.735,0.0
1,1,2021-02-23_16h05.47.798,2,88.26713199999999,1.732868,1.732868,0.1,0,0.0,0.0,1.0,2310.175,1.0
2,1,2021-02-23_16h05.47.798,3,1.732868,1.732868,1.732868,0.1,0,0.0,0.0,-1.0,3982.585,0.0
3,1,2021-02-23_16h05.47.798,4,-88.26713199999999,-1.732868,1.732868,0.1,0,0.0,0.0,-1.0,2004.485,1.0
4,1,2021-02-23_16h05.47.798,5,89.493169,0.506831,0.506831,0.1,0,0.0,0.0,1.0,2202.085,1.0
5,1,2021-02-23_16h05.47.798,6,-1.732868,-1.732868,1.732868,0.1,0,0.0,0.0,-1.0,3948.14,1.0
6,1,2021-02-23_16h05.47.798,7,0.506831,0.506831,0.506831,0.1,0,0.0,0.0,1.0,2188.02,1.0
7,1,2021-02-23_16h05.47.798,8,-0.506831,-0.506831,0.506831,0.1,0,0.0,0.0,-1.0,4266.27,1.0
8,1,2021-02-23_16h05.47.798,9,89.493169,0.506831,0.506831,0.1,0,0.0,0.0,1.0,1903.115,1.0
9,1,2021-02-23_16h05.47.798,10,88.26713199999999,1.732868,1.732868,0.1,0,0.0,0.0,1.0,2172.585,1.0
10,1,2021-02-23_16h05.47.798,11,-1.732868,-1.732868,1.732868,0.1,0,0.0,0.0,-1.0,2709.485,1.0
11,1,2021-02-23_16h05.47.798,12,-88.26713199999999,-1.732868,1.732868,0.1,0,0.0,0.0,-1.0,2171.075,1.0
12,1,2021-02-23_16h05.47.798,13,1.732868,1.732868,1.732868,0.1,0,0.0,0.0,1.0,3477.14,1.0
13,1,2021-02-23_16h05.47.798,14,0.506831,0.506831,0.506831,0.1,0,0.0,0.0,1.0,6268.785,1.0
14,1,2021-02-23_16h05.47.798,15,-89.493169,-0.506831,0.506831,0.1,0,0.0,0.0,-1.0,1995.02,1.0
15,1,2021-02-23_16h05.47.798,16,-0.506831,-0.506831,0.506831,0.1,0,0.0,0.0,-1.0,2882.29,1.0
16,1,2021-02-23_16h05.47.798,17,0.506831,0.506831,0.506831,8.0,0,0.0,0.0,-1.0,2316.68,0.0
