,participant,date,trial,nbluedots,stim,stim_strength,incentive,desirability,endowment_size,resp,rt,correct,outcome,remain_endowment
0,1,2022-03-08_10h02.59.641,1,49.0,-1.0,1.0,0.05,0,0.0,1.0,1454.6,0.0,-0.0,0.0
1,1,2022-03-08_10h02.59.641,2,46.0,-4.0,4.0,0.05,0,0.0,1.0,2016.7,0.0,-0.0,0.0
2,1,2022-03-08_10h02.59.641,3,54.0,4.0,4.0,0.05,0,0.0,1.0,959.7,1.0,-0.0,0.0
3,1,2022-03-08_10h02.59.641,4,51.0,1.0,1.0,0.05,0,0.0,1.0,910.2,1.0,-0.0,0.0
4,1,2022-03-08_10h02.59.641,5,52.0,2.0,2.0,0.05,0,0.0,-1.0,1021.8,0.0,-0.0,0.0
5,1,2022-03-08_10h02.59.641,6,48.0,-2.0,2.0,0.05,0,0.0,-1.0,1722.6,1.0,-0.0,0.0
6,1,2022-03-08_10h02.59.641,7,53.0,3.0,3.0,0.05,0,0.0,1.0,2491.6,1.0,-0.0,0.0
7,1,2022-03-08_10h02.59.641,8,47.0,-3.0,3.0,0.05,0,0.0,-1.0,1940.4,1.0,-0.0,0.0
8,1,2022-03-08_10h02.59.641,9,48.0,-2.0,2.0,10.0,0,0.0,1.0,1172.4,0.0,-0.0,0.0
9,1,2022-03-08_10h02.59.641,10,46.0,-4.0,4.0,10.0,0,0.0,-1.0,1064.6,1.0,-0.0,0.0
10,1,2022-03-08_10h02.59.641,11,52.0,2.0,2.0,10.0,0,0.0,1.0,783.4,1.0,-0.0,0.0
11,1,2022-03-08_10h02.59.641,12,49.0,-1.0,1.0,10.0,0,0.0,-1.0,925.0,1.0,-0.0,0.0
12,1,2022-03-08_10h02.59.641,13,53.0,3.0,3.0,10.0,0,0.0,1.0,1889.5,1.0,-0.0,0.0
13,1,2022-03-08_10h02.59.641,14,54.0,4.0,4.0,10.0,0,0.0,1.0,1482.2,1.0,-0.0,0.0
